,production_budget,worldwide_gross
0,110000,11000000
1,200000,8000000
2,100000,3000000
3,245000,22000000
4,3900000,9000000
5,379000,4358000
6,558000,900000
7,672000,10000650
8,200000,2000000
9,439000,2281000
10,325000,2500000
11,609000,3202000
12,1500000,165049
13,1300000,5273000
14,1488000,184925485
15,2000000,4000000
16,1644000,4000000
17,1500000,9000000
18,2777000,33754967
19,3900000,390525192
20,2000000,9172000
21,1288000,6000000
22,2280000,83320000
23,858000,268000000
24,134000,8000000
25,1039000,10462500
26,2627000,5363000
27,2361000,3500000
28,5200000,2000000
29,2160000,9132000
30,1250000,11000000
31,1500000,7000000
32,3180000,9576159
33,2000000,24464742
34,2100000,23600000
35,6000000,20400000
36,2000000,7800000
37,3700000,2956000
38,3000000,9012000
39,1600000,5400000
40,1000000,7800000
41,2900000,263591415
42,3768785,8000000
43,8250000,30022000
44,1200000,7000000
45,1800000,8000000
46,2300000,11000000
47,730000,8000000
48,4000000,36000000
49,2540000,7200000
50,1250000,2500000
51,4000000,87400000
52,1650000,30500000
53,210000,5000000
54,5000000,36000000
55,658000,23800000
56,5000000,15000000
57,910000,9600000
58,5000000,28200000
59,1200000,7000000
60,6000000,12500000
61,4500000,10400000
62,4000000,14400000
63,1000000,9000000
64,3380000,3220
65,13500000,80000000
66,6000000,42000000
67,500000,271736
68,1200000,2000000
69,5000000,11014685
70,3000000,33300000
71,3000000,17570324
72,5000000,11000000
73,3500000,12800000
74,2883848,25000000
75,15000000,73000000
76,4000000,21750000
77,3000000,24600000
78,3000000,10400000
79,12000000,60000000
80,12000000,7900000
81,4000000,8200000
82,3000000,10000000
83,2900000,5000000
84,2000000,7600000
85,6000000,43700000
86,3200000,8000000
87,2000000,9250000
88,10000000,50100000
89,19000000,13680000
90,4500000,3500000
91,15000000,69995385
92,2000000,13129846
93,17000000,10000000
94,2686000,6600000
95,2500000,10000000
96,1000000,37600000
97,9400000,60000000
98,1000000,59567035
99,4000000,11744471
100,42000000,71000000
101,19000000,4750000
102,1800000,9164370
103,2000000,78900000
104,6000000,102300000
105,17000000,72070955
106,560000,1597233
107,3000000,124900000
108,8200000,286214286
109,20000000,15473333
110,5800000,6800000
111,3800000,14873
112,11000000,111859493
113,9000000,141200000
114,3500000,12000000
115,3000000,13000000
116,15000000,34562222
117,3900000,28350000
118,3500000,13007551
119,200000,3500000
120,2000000,24391108
121,12000000,41744718
122,9500000,111600000
123,600000,4300000
124,1200000,6100000
125,1455000,2620000
126,114000,30000000
127,10500000,68700000
128,1800000,6800000
129,747000,44566
130,5800000,33395426
131,10000000,37402877
132,3200000,33395426
133,20000000,8000000
134,3600000,44785053
135,5000000,5321508
136,6000000,509424
137,200000,25000000
138,20000000,31678778
139,6000000,102308900
140,24000000,33208099
141,8000000,82000000
142,4000000,6000000
143,22000000,5000000
144,12000000,62500000
145,11000000,2200000
146,3500000,81600000
147,1000000,9000000
148,600000,34505110
149,3716946,5000000
150,3000000,17489009
151,18000000,24911670
152,25000000,29548291
153,9000000,80500000
154,6500000,12376563
155,2500000,12300000
156,150000,15200000
157,3000000,4000000
158,2200000,41158757
159,7200000,116000000
160,1700000,9700000
161,7000000,268500000
162,3500000,12600000
163,25000,45000000
164,87000,3100000
165,2000000,18016290
166,1800000,8800000
167,4638783,11000000
168,7000000,161800000
169,5500000,15700000
170,777000,140000000
171,2000000,18344729
172,5500000,159616327
173,12000000,400214478
174,2600000,119500000
175,7000000,26533200
176,1600000,4420000
177,140000,26572439
178,13000000,57300000
179,500000,31559560
180,2800000,86300000
181,14000000,139700000
182,4000000,15000000
183,7000000,97600000
184,11000000,20169934
185,5000000,41833347
186,12000000,470700000
187,1200000,140556781
188,400000,5028948
189,3000000,20123742
190,4400000,108981275
191,7000000,25000000
192,3800000,23689877
193,1200000,887000
194,4400000,36145695
